subject	path	path_class	action	match_count	lines
contract_registry	coordination/incoming_requests/forprint_integration_gateway/new/2026-05-28-integration-gateway-v0-2-stabilization-report.md	OTHER_CURRENT_LOOKING	ABSORB_REVIEW	1	381
contract_registry	coordination/internal_work/blueprint/governance/2026-08-24__blueprint__module_concept_coverage_audit_v0_1.yaml	WORKING_INTERNAL	PRESERVE_OR_UPDATE_WORKING	1	230
contract_registry	coordination/internal_work/blueprint/governance/2026-08-24__blueprint__module_concept_source_digest_v0_1.md	WORKING_INTERNAL	PRESERVE_OR_UPDATE_WORKING	3	334,355,369
contract_registry	coordination/internal_work/blueprint/portfolio_strategy_history/2026-08-28__forprint_portfolio__all_modules_microstep_review_v0_3/EVENING_REVIEW_GUIDE.md	PRESERVE_HISTORY	PRESERVE	1	19
contract_registry	coordination/internal_work/blueprint/portfolio_strategy_history/2026-08-28__forprint_portfolio__all_modules_microstep_review_v0_3/FORPRINT_PORTFOLIO_WORKBOOK_v0_3.md	PRESERVE_HISTORY	PRESERVE	8	40,687,962,965,985,998,1042,1207
contract_registry	coordination/internal_work/blueprint/portfolio_strategy_history/2026-08-28__forprint_portfolio__all_modules_microstep_review_v0_3/PORTFOLIO_MAP.md	PRESERVE_HISTORY	PRESERVE	1	34
contract_registry	coordination/internal_work/blueprint/portfolio_strategy_history/2026-08-28__forprint_portfolio__all_modules_microstep_review_v0_3/module_sheets/05__forprint_library__working_sheet_v0_3.md	PRESERVE_HISTORY	PRESERVE	1	27
contract_registry	coordination/internal_work/blueprint/portfolio_strategy_history/2026-08-28__forprint_portfolio__all_modules_microstep_review_v0_3/module_sheets/07__integration_gateway__working_sheet_v0_3.md	PRESERVE_HISTORY	PRESERVE	5	21,24,44,57,101
contract_registry	coordination/internal_work/blueprint/portfolio_strategy_history/2026-08-28__forprint_portfolio__all_modules_microstep_review_v0_3/module_sheets/09__contract_registry__working_sheet_v0_3.md	PRESERVE_HISTORY	PRESERVE	1	2
contract_registry	coordination/module_policy/forprint_contract_registry/contract_registry_architecture_and_activation_brief.md	OTHER_CURRENT_LOOKING	ABSORB_REVIEW	8	1,21,50,73,147,156,189,222
contract_registry	coordination/module_policy/forprint_contract_registry/module_policy.md	OTHER_CURRENT_LOOKING	ABSORB_REVIEW	1	1
contract_registry	coordination/module_policy/forprint_library/module_policy.md	OTHER_CURRENT_LOOKING	ABSORB_REVIEW	1	55
contract_registry	coordination/module_policy/module_policy_index.yaml	STRUCTURED_CONFIG	ABSORB_REVIEW	2	141,205
contract_registry	coordination/module_sources/module_git_sources.yaml	STRUCTURED_CONFIG	ABSORB_REVIEW	1	139
contract_registry	coordination/outgoing_prompts/accounting_registry_service/approved/2026-05-28-accounting-registry-boundary-correction.md	OTHER_CURRENT_LOOKING	ABSORB_REVIEW	1	461
contract_registry	coordination/reports/completion/2026-07-23__blueprint__internal_workflow_foundation_v0_1.md	OTHER_CURRENT_LOOKING	ABSORB_REVIEW	1	53
contract_registry	coordination/reports/completion/2026-07-23__blueprint__repository_knowledge_baseline_v0_2.md	OTHER_CURRENT_LOOKING	ABSORB_REVIEW	1	47
contract_registry	coordination/repository_knowledge/direction/blueprint_coordination/2026-07-23__forprint_system_blueprint__state_direction_rationale_snapshot_v0_1.yaml	PRESERVE_HISTORY	PRESERVE	3	61,397,427
